Evidence ID,Source Module,Source Zip (Inventory),Manifest Name,Category,Present In Source Zip,Also In addons_extra.zip,Preliminary Classification,Classification Rule,Status
PS04-MOD-0012,account_avatax_sale,01 ACCOUNT.zip,Avatax for SO,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0013,account_avatax_stock,01 ACCOUNT.zip,Avatax for Inventory,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0014,account_bank_statement_extract,01 ACCOUNT.zip,Account Bank Statement Extract,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0015,account_bank_statement_import,01 ACCOUNT.zip,Account Bank Statement Import,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0016,account_bank_statement_import_camt,01 ACCOUNT.zip,Import CAMT Bank Statement,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0017,account_bank_statement_import_csv,01 ACCOUNT.zip,Import CSV Bank Statement,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0018,account_bank_statement_import_ofx,01 ACCOUNT.zip,Import OFX Bank Statement,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0019,account_bank_statement_import_qif,01 ACCOUNT.zip,Import QIF Bank Statement,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0020,account_base_import,01 ACCOUNT.zip,Accounting Import,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0021,account_batch_payment,01 ACCOUNT.zip,Batch Payment,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0022,account_budget,01 ACCOUNT.zip,Budget Management,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0023,account_budget_purchase,01 ACCOUNT.zip,Budget Management,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0024,account_check_printing,01 ACCOUNT.zip,Check Printing Base,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0025,account_debit_note,01 ACCOUNT.zip,Debit Notes,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0026,account_edi,01 ACCOUNT.zip,Import/Export Invoices From XML/PDF,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0027,account_edi_proxy_client,01 ACCOUNT.zip,Proxy features for account_edi,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0028,account_edi_ubl_cii,01 ACCOUNT.zip,Import/Export electronic invoices with UBL/CII,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0029,account_external_tax,01 ACCOUNT.zip,3rd Party Tax Calculation,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0030,account_extract,01 ACCOUNT.zip,Account Extract,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0031,account_fiscal_categories,01 ACCOUNT.zip,Account Fiscal Report,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0032,account_fiscal_categories_fleet,01 ACCOUNT.zip,Fiscal Categories on Fleets,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0033,account_fleet,01 ACCOUNT.zip,Accounting/Fleet bridge,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0034,account_followup,01 ACCOUNT.zip,Payment Follow-up Management,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0035,account_inter_company_rules,01 ACCOUNT.zip,Inter Company Module for Sale/Purchase Orders and Invoices,Productivity,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0036,account_intrastat,01 ACCOUNT.zip,Intrastat Reports,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0037,account_invoice_extract,01 ACCOUNT.zip,Account Invoice Extract,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0038,account_invoice_extract_purchase,01 ACCOUNT.zip,Account Invoice Extract Purchase,Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0039,account_iso20022,01 ACCOUNT.zip,SEPA Credit Transfer / ISO20022,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0040,account_loans,01 ACCOUNT.zip,Loans Management,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0041,account_online_payment,01 ACCOUNT.zip,Account Online Payment,,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0042,account_online_synchronization,01 ACCOUNT.zip,Online Bank Statement Synchronization,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0043,account_payment,01 ACCOUNT.zip,Payment - Account,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0044,account_peppol,01 ACCOUNT.zip,Peppol,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0045,account_peppol_advanced_fields,01 ACCOUNT.zip,[DEPRECATED] Account Peppol Advanced Fields,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0046,account_peppol_response,01 ACCOUNT.zip,Peppol Business Response,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0047,account_qr_code_emv,01 ACCOUNT.zip,account_qr_code_emv,Accounting/Payment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0048,account_qr_code_sepa,01 ACCOUNT.zip,Account SEPA QR Code,Accounting/Payment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0049,account_reports,01 ACCOUNT.zip,Accounting Reports,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0050,account_reports_cash_basis,01 ACCOUNT.zip,Cash Basis Accounting Reports,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0051,account_saft,01 ACCOUNT.zip,Standard Audit File for Tax Base module,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0052,account_saft_import,01 ACCOUNT.zip,SAF-T Import,,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0053,account_sepa_direct_debit,01 ACCOUNT.zip,SEPA Direct Debit,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0054,account_tax_python,01 ACCOUNT.zip,Define Taxes as Python Code,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0055,account_test,01 ACCOUNT.zip,Accounting Consistency Tests,Accounting/Accounting,YES,NO,TEST-DEMO-THEME-NOISE-CANDIDATE,test module naming,OBSERVED
PS04-MOD-0056,account_transfer,01 ACCOUNT.zip,Account Transfers,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0057,account_update_tax_tags,01 ACCOUNT.zip,Account - Allow updating tax grids,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0058,account_winbooks_import,01 ACCOUNT.zip,Account Winbooks Import,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0059,accountant,01 ACCOUNT.zip,Accounting,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0060,accountant_fleet,01 ACCOUNT.zip,Accounting - Fleet,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0061,accountant_hr_expense,01 ACCOUNT.zip,Accounting - Expense,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0062,accountant_knowledge,01 ACCOUNT.zip,Annual Reports,,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0063,ai,02 OTHER.zip,AI,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0064,ai_account,02 OTHER.zip,AI Text Draft - Accounting,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0065,ai_app,02 OTHER.zip,AI,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0066,ai_auto_install,02 OTHER.zip,AI Auto Install,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0067,ai_crm,02 OTHER.zip,AI crm,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0068,ai_crm_livechat,02 OTHER.zip,AI crm livechat,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0069,ai_documents,02 OTHER.zip,AI Documents,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0070,ai_documents_account,02 OTHER.zip,AI Documents Account,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0071,ai_documents_source,02 OTHER.zip,AI Documents Source,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0072,ai_fields,02 OTHER.zip,ai_fields,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0073,ai_knowledge,02 OTHER.zip,AI Text Draft - Knowledge,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0074,ai_livechat,02 OTHER.zip,AI Livechat,AI,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0075,ai_server_actions,02 OTHER.zip,ai_server_actions,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0076,ai_website,02 OTHER.zip,AI Website Integration,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0077,ai_website_livechat,02 OTHER.zip,AI Website Livechat Integration,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0078,analytic,02 OTHER.zip,Analytic Accounting,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0079,analytic_enterprise,02 OTHER.zip,Analytic Accounting Enterprise,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0080,api_doc,02 OTHER.zip,API Documentation,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0081,appointment,02 OTHER.zip,Appointments,Services/Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0082,appointment_account_payment,02 OTHER.zip,Pay to Book,Marketing/Online Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0083,appointment_crm,02 OTHER.zip,Appointment Lead Generation,Services/Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0084,appointment_google_calendar,02 OTHER.zip,Appointment Google Calendar,Productivity,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0085,appointment_google_reserve,02 OTHER.zip,Appointment Google Reserve,Productivity,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0086,appointment_hr,02 OTHER.zip,Employees on Appointments,Services/Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0087,appointment_hr_recruitment,02 OTHER.zip,Recruitment tracking on appointments,Services/Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0088,appointment_microsoft_calendar,02 OTHER.zip,Appointment Microsoft Calendar,Productivity,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0089,appointment_sms,02 OTHER.zip,Appointment SMS,Services/Appointment,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0090,approvals,02 OTHER.zip,Approvals,Human Resources/Approvals,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0091,approvals_purchase,02 OTHER.zip,Approvals - Purchase,Human Resources/Approvals,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0092,approvals_purchase_stock,02 OTHER.zip,Approvals - Purchase - Stock,Human Resources/Approvals,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0093,attachment_indexation,02 OTHER.zip,Attachments List and Document Indexation,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0094,auth_ldap,02 OTHER.zip,Authentication via LDAP,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0095,auth_oauth,02 OTHER.zip,OAuth2 Authentication,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0096,auth_passkey,02 OTHER.zip,Passkeys,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0097,auth_passkey_portal,02 OTHER.zip,Passkeys Portal,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0098,auth_password_policy,02 OTHER.zip,Password Policy,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0099,auth_password_policy_portal,02 OTHER.zip,Password Policy support for Signup,Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0100,auth_password_policy_signup,02 OTHER.zip,Password Policy support for Signup,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0101,auth_signup,02 OTHER.zip,Signup,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0102,auth_timeout,02 OTHER.zip,Auth Timeout,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0103,auth_totp,02 OTHER.zip,Two-Factor Authentication (TOTP),Extra Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0104,auth_totp_mail,02 OTHER.zip,2FA Invite mail,Extra Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0105,auth_totp_portal,02 OTHER.zip,TOTPortal,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0106,barcodes,02 OTHER.zip,Barcode,Supply Chain/Inventory,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0107,barcodes_gs1_nomenclature,02 OTHER.zip,Barcode - GS1 Nomenclature,Supply Chain/Inventory,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0108,base,02 OTHER.zip,Base,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0109,base_address_extended,02 OTHER.zip,Extended Addresses,Sales/Sales,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0110,base_automation,02 OTHER.zip,Automation Rules,Sales/Sales,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0111,base_automation_hr,02 OTHER.zip,Automation Rules based on Employee Contracts,Human Resources,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0112,base_geolocalize,02 OTHER.zip,Partners Geolocation,Sales/Sales,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0113,base_iban,02 OTHER.zip,IBAN Bank Accounts,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0114,base_import,02 OTHER.zip,Base import,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0115,base_import_module,02 OTHER.zip,Base import module,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0116,base_install_request,02 OTHER.zip,Base - Module Install Request,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0117,base_setup,02 OTHER.zip,Initial Setup Tools,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0118,base_sparse_field,02 OTHER.zip,Sparse Fields,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0119,base_vat,02 OTHER.zip,VAT Number Validation,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0120,board,02 OTHER.zip,Dashboards,Productivity,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0121,bus,02 OTHER.zip,IM Bus,Hidden,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0122,calendar,02 OTHER.zip,Calendar,Productivity/Calendar,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0123,calendar_sms,02 OTHER.zip,Calendar - SMS,Productivity/Calendar,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0124,certificate,02 OTHER.zip,Certificate,Hidden/Tools,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0125,cloud_storage,02 OTHER.zip,Cloud Storage,Technical Settings,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0126,cloud_storage_azure,02 OTHER.zip,Cloud Storage Azure,Technical Settings,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0127,cloud_storage_google,02 OTHER.zip,Cloud Storage Google,Technical Settings,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0128,cloud_storage_migration,02 OTHER.zip,Cloud Storage Migration,Technical Settings,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0129,contacts,02 OTHER.zip,Contacts,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0130,contacts_enterprise,02 OTHER.zip,Contacts Enterprise,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0131,crm,02 OTHER.zip,CRM,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0132,crm_enterprise,02 OTHER.zip,CRM enterprise,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0133,crm_enterprise_partner_assign,02 OTHER.zip,Enterprise Resellers,Website/Website,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0134,crm_helpdesk,02 OTHER.zip,Helpdesk - CRM,Services/Helpdesk,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0135,crm_iap_enrich,02 OTHER.zip,Lead Enrichment,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0136,crm_iap_mine,02 OTHER.zip,Lead Generation,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0137,crm_livechat,02 OTHER.zip,CRM Livechat,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0138,crm_mail_plugin,02 OTHER.zip,CRM Mail Plugin,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0139,crm_sale_subscription,02 OTHER.zip,CRM Sale Subscription,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0140,crm_sms,02 OTHER.zip,SMS in CRM,Sales/CRM,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0141,currency_rate_live,02 OTHER.zip,Live Currency Exchange Rate,Accounting/Accounting,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0142,data_cleaning,02 OTHER.zip,Data Cleaning,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0143,data_merge_crm,02 OTHER.zip,CRM Deduplication,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0144,data_merge_helpdesk,02 OTHER.zip,Helpdesk Merge action,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0145,data_merge_project,02 OTHER.zip,Project Merge action,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0146,data_merge_stock_account,02 OTHER.zip,WMS Accounting Merge,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0147,data_merge_utm,02 OTHER.zip,UTM Deduplication,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0148,data_recycle,02 OTHER.zip,Data Recycle,Productivity/Data Cleaning,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0149,databases,02 OTHER.zip,Databases,Services/Databases,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0150,delivery,02 OTHER.zip,Delivery Costs,Sales/Delivery,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0151,delivery_bpost,02 OTHER.zip,bpost Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0152,delivery_dhl,02 OTHER.zip,DHL Express Shipping (Legacy),Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0153,delivery_dhl_rest,02 OTHER.zip,DHL Express Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0154,delivery_easypost,02 OTHER.zip,Easypost Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0155,delivery_envia,02 OTHER.zip,Envia Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0156,delivery_fedex,02 OTHER.zip,Fedex Shipping (Legacy),Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0157,delivery_fedex_rest,02 OTHER.zip,Fedex Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0158,delivery_iot,02 OTHER.zip,IoT for Delivery,Supply Chain/Internet of Things (IoT),YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0159,delivery_mondialrelay,02 OTHER.zip,delivery_mondialrelay,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0160,delivery_sendcloud,02 OTHER.zip,Sendcloud Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0161,delivery_shiprocket,02 OTHER.zip,Shiprocket Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0162,delivery_starshipit,02 OTHER.zip,Starshipit Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0163,delivery_stock_picking_batch,02 OTHER.zip,Delivery Stock Picking Batch,Supply Chain/Inventory,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0164,delivery_ups,02 OTHER.zip,UPS Shipping (Legacy),Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0165,delivery_ups_rest,02 OTHER.zip,UPS Shipping,Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
PS04-MOD-0166,delivery_usps,02 OTHER.zip,United States Postal Service (USPS) Shipping (Legacy),Shipping Connectors,YES,NO,CANDIDATE-POOL,no exclusion rule matched,OBSERVED
